,lgID,teamID,franchID,name
2396,AL,TBA,TBD,Tampa Bay Devil Rays
2397,AL,TEX,TEX,Texas Rangers
2398,AL,TOR,TOR,Toronto Blue Jays
2399,NL,ARI,ARI,Arizona Diamondbacks
2400,NL,ATL,ATL,Atlanta Braves
2401,NL,CHN,CHC,Chicago Cubs
2402,NL,CIN,CIN,Cincinnati Reds
2403,NL,COL,COL,Colorado Rockies
2404,NL,FLO,FLA,Florida Marlins
2405,NL,HOU,HOU,Houston Astros
2406,NL,LAN,LAD,Los Angeles Dodgers
2407,NL,MIL,MIL,Milwaukee Brewers
2408,NL,MON,WSN,Montreal Expos
2409,NL,NYN,NYM,New York Mets
2410,NL,PHI,PHI,Philadelphia Phillies
2411,NL,PIT,PIT,Pittsburgh Pirates
2412,NL,SDN,SDP,San Diego Padres
2413,NL,SFN,SFG,San Francisco Giants
2414,NL,SLN,STL,St. Louis Cardinals
2415,AL,ANA,ANA,Anaheim Angels
2416,AL,BAL,BAL,Baltimore Orioles
2417,AL,BOS,BOS,Boston Red Sox
2418,AL,CHA,CHW,Chicago White Sox
2419,AL,CLE,CLE,Cleveland Indians
2420,AL,DET,DET,Detroit Tigers
2421,AL,KCA,KCR,Kansas City Royals
2422,AL,MIN,MIN,Minnesota Twins
2423,AL,NYA,NYY,New York Yankees
2424,AL,OAK,OAK,Oakland Athletics
2425,AL,SEA,SEA,Seattle Mariners
2426,AL,TBA,TBD,Tampa Bay Devil Rays
2427,AL,TEX,TEX,Texas Rangers
2428,AL,TOR,TOR,Toronto Blue Jays
2429,NL,ARI,ARI,Arizona Diamondbacks
2430,NL,ATL,ATL,Atlanta Braves
2431,NL,CHN,CHC,Chicago Cubs
2432,NL,CIN,CIN,Cincinnati Reds
2433,NL,COL,COL,Colorado Rockies
2434,NL,FLO,FLA,Florida Marlins
2435,NL,HOU,HOU,Houston Astros
2436,NL,LAN,LAD,Los Angeles Dodgers
2437,NL,MIL,MIL,Milwaukee Brewers
2438,NL,MON,WSN,Montreal Expos
