,playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame
14028,ottme01,1909.0,3.0,2.0,Gretna,USA,LA,1958.0,11.0,21.0,USA,LA,New Orleans,Mel,Ott,Melvin Thomas,170.0,69.0,L,R,1926-04-27,1947-07-11
14118,paigesa01,1906.0,7.0,7.0,Mobile,USA,AL,1982.0,6.0,8.0,USA,MO,Kansas City,Satchel,Paige,Leroy Robert,180.0,75.0,R,R,1948-07-09,1965-09-25
14136,palmeji01,1945.0,10.0,15.0,New York,USA,NY,,,,,,,Jim,Palmer,James Alvin,190.0,75.0,R,R,1965-04-17,1984-05-12
14426,pennohe01,1894.0,2.0,10.0,Kennett Square,USA,PA,1948.0,1.0,30.0,USA,NY,New York,Herb,Pennock,Herbert Jefferis,160.0,72.0,B,L,1912-05-14,1934-08-27
14496,perezto01,1942.0,5.0,14.0,Camaguey,Cuba,Camaguey,,,,,,,Tony,Perez,Atanacio,175.0,74.0,R,R,1964-07-26,1986-10-05
14526,perryga01,1938.0,9.0,15.0,Williamston,USA,NC,2022.0,12.0,1.0,USA,SC,Gaffney,Gaylord,Perry,Gaylord Jackson,205.0,76.0,R,R,1962-04-14,1983-09-21
14668,piazzmi01,1968.0,9.0,4.0,Norristown,USA,PA,,,,,,,Mike,Piazza,Michael Joseph,200.0,75.0,R,R,1992-09-01,2007-09-30
14776,planked01,1875.0,8.0,31.0,Gettysburg,USA,PA,1926.0,2.0,24.0,USA,PA,Gettysburg,Eddie,Plank,Edward Stewart,175.0,71.0,L,L,1901-05-13,1917-08-06
14836,pompeal99,1890.0,5.0,14.0,Key West,USA,FL,1974.0,3.0,14.0,USA,NY,New York,Alex,Pompez,Alejandro,,,,,,
14887,poseycu99,1890.0,6.0,20.0,Homestead,USA,PA,1946.0,3.0,28.0,USA,PA,Pittsburgh,Cum,Posey,Cumberland Willis,140.0,69.0,R,R,,
15015,puckeki01,1960.0,3.0,14.0,Chicago,USA,IL,2006.0,3.0,6.0,USA,AZ,Phoenix,Kirby,Puckett,Kirby,178.0,68.0,R,R,1984-05-08,1995-09-28
15124,radboch01,1854.0,12.0,11.0,Rochester,USA,NY,1897.0,2.0,5.0,USA,IL,Bloomington,Old Hoss,Radbourn,Charles Gardner,168.0,69.0,R,R,1880-05-05,1891-08-11
15154,raineti01,1959.0,9.0,16.0,Sanford,USA,FL,,,,,,,Tim,Raines,Timothy,160.0,68.0,B,R,1979-09-11,2002-09-29
15361,reesepe01,1918.0,7.0,23.0,Ekron,USA,KY,1999.0,8.0,14.0,USA,KY,Louisville,Pee Wee,Reese,Harold Henry,160.0,70.0,R,R,1940-04-23,1958-09-26
15536,riceji01,1953.0,3.0,8.0,Anderson,USA,SC,,,,,,,Jim,Rice,James Edward,200.0,74.0,R,R,1974-08-19,1989-08-03
15539,ricesa01,1890.0,2.0,20.0,Morocco,USA,IN,1974.0,10.0,13.0,USA,MD,Rossmoor,Sam,Rice,Edgar Charles,150.0,69.0,L,R,1915-08-07,1934-09-18
15584,rickebr01,1881.0,12.0,20.0,Flat,USA,OH,1965.0,12.0,9.0,USA,MO,Columbia,Branch,Rickey,Wesley Branch,175.0,69.0,L,R,1905-06-16,1914-08-25
15649,ripkeca01,1960.0,8.0,24.0,Havre de Grace,USA,MD,,,,,,,Cal,Ripken,Calvin Edwin,200.0,76.0,R,R,1981-08-10,2001-10-06
15687,riverma01,1969.0,11.0,29.0,Panama,Panama,Panama,,,,,,,Mariano,Rivera,Mariano,195.0,74.0,R,R,1995-05-23,2013-09-26
15698,rixeyep01,1891.0,5.0,3.0,Culpeper,USA,VA,1963.0,2.0,28.0,USA,OH,Terrace Park,Eppa,Rixey,Eppa,210.0,77.0,R,L,1912-06-21,1933-08-05
15702,rizzuph01,1917.0,9.0,25.0,Brooklyn,USA,NY,2007.0,8.0,13.0,USA,NJ,West Orange,Phil,Rizzuto,Philip Francis,150.0,66.0,R,R,1941-04-14,1956-08-16
15757,roberro01,1926.0,9.0,30.0,Springfield,USA,IL,2010.0,5.0,6.0,USA,FL,Temple Terrace,Robin,Roberts,Robin Evan,190.0,72.0,B,R,1948-06-18,1966-09-03
15769,robinbr01,1937.0,5.0,18.0,Little Rock,USA,AR,2023.0,9.0,26.0,USA,MD,Owings Mills,Brooks,Robinson,Brooks Calbert,180.0,73.0,R,R,1955-09-17,1977-08-13
15785,robinfr02,1935.0,8.0,31.0,Beaumont,USA,TX,2019.0,2.0,7.0,USA,CA,Los Angeles,Frank,Robinson,Frank,183.0,73.0,R,R,1956-04-17,1976-09-18
15789,robinja02,1919.0,1.0,31.0,Cairo,USA,GA,1972.0,10.0,24.0,USA,CT,Stamford,Jackie,Robinson,Jack Roosevelt,195.0,71.0,R,R,1947-04-15,1956-09-30
15800,robinwi01,1864.0,6.0,29.0,Bolton,USA,MA,1934.0,8.0,8.0,USA,GA,Atlanta,Wilbert,Robinson,Wilbert,215.0,68.0,R,R,1886-04-19,1902-09-29
15858,rodriiv01,1971.0,11.0,27.0,Manati,P.R.,,,,,,,,Ivan,Rodriguez,Ivan,205.0,69.0,R,R,1991-06-20,2011-09-28
15904,roganbu99,1893.0,7.0,28.0,Oklahoma City,USA,OK,1967.0,3.0,4.0,USA,MO,Kansas City,Bullet,Rogan,Charles Wilber,160.0,67.0,R,R,,
15950,rolensc01,1975.0,4.0,4.0,Evansville,USA,IN,,,,,,,Scott,Rolen,Scott Bruce,245.0,76.0,R,R,1996-08-01,2012-10-03
16101,roushed01,1893.0,5.0,8.0,Oakland City,USA,IN,1988.0,3.0,21.0,USA,FL,Bradenton,Edd,Roush,Edd J.,170.0,71.0,L,L,1913-08-20,1931-09-27
16163,ruffire01,1905.0,5.0,3.0,Granville,USA,IL,1986.0,2.0,17.0,USA,OH,Mayfield Heights,Red,Ruffing,Charles Herbert,205.0,73.0,R,R,1924-05-31,1947-09-15
16185,ruperja99,1867.0,8.0,5.0,New York,USA,NY,1939.0,1.0,13.0,USA,NY,New York,Jacob,Ruppert,Jacob,,,,,,
16192,rusieam01,1871.0,5.0,30.0,Mooresville,USA,IN,1942.0,12.0,6.0,USA,WA,Seattle,Amos,Rusie,Amos Wilson,200.0,73.0,R,R,1889-05-09,1901-06-09
16216,ruthba01,1895.0,2.0,6.0,Baltimore,USA,MD,1948.0,8.0,16.0,USA,NY,New York,Babe,Ruth,George Herman,215.0,74.0,L,L,1914-07-11,1935-05-30
16246,ryanno01,1947.0,1.0,31.0,Refugio,USA,TX,,,,,,,Nolan,Ryan,Lynn Nolan,170.0,74.0,R,R,1966-09-11,1993-09-22
16373,sandbry01,1959.0,9.0,18.0,Spokane,USA,WA,,,,,,,Ryne,Sandberg,Ryne Dee,175.0,73.0,R,R,1981-09-02,1997-09-28
16440,santolo99,1889.0,1.0,17.0,Fort Worth,USA,TX,1942.0,1.0,22.0,USA,PA,Philadelphia,Louis,Santop,Louis,200.0,74.0,L,R,,
16445,santoro01,1940.0,2.0,25.0,Seattle,USA,WA,2010.0,12.0,2.0,USA,AZ,Scottsdale,Ron,Santo,Ronald Edward,190.0,72.0,R,R,1960-06-26,1974-09-29
16541,schalra01,1892.0,8.0,12.0,Harvel,USA,IL,1970.0,5.0,19.0,USA,IL,Chicago,Ray,Schalk,Ray William,165.0,69.0,R,R,1912-08-11,1929-09-15
16625,schmimi01,1949.0,9.0,27.0,Dayton,USA,OH,,,,,,,Mike,Schmidt,Michael Jack,195.0,74.0,R,R,1972-09-12,1989-05-28
16642,schoere01,1923.0,2.0,2.0,Germantown,USA,IL,2018.0,6.0,6.0,USA,MO,Town and Country,Red,Schoendienst,Albert Fred,170.0,72.0,B,R,1945-04-17,1963-07-07
16703,schurjo99,1940.0,10.0,1.0,Baltimore,USA,MD,,,,,,,John,Schuerholz,John,,,,,,
16782,seaveto01,1944.0,11.0,17.0,Fresno,USA,CA,2020.0,8.0,31.0,USA,CA,Calistoga,Tom,Seaver,George Thomas,195.0,73.0,R,R,1967-04-13,1986-09-19
16818,seleefr99,1859.0,10.0,26.0,Amherst,USA,NH,1909.0,7.0,5.0,USA,CO,Denver,Frank,Selee,Frank Gibson,,,,,,
16820,seligbu99,1934.0,7.0,30.0,Milwaukee,USA,WI,,,,,,,Bud,Selig,Allan H.,,,,,,
16873,seweljo01,1898.0,10.0,9.0,Titus,USA,AL,1990.0,3.0,6.0,USA,AL,Mobile,Joe,Sewell,Joseph Wheeler,155.0,66.0,L,R,1920-09-10,1933-09-24
17141,simmoal01,1902.0,5.0,22.0,Milwaukee,USA,WI,1956.0,5.0,26.0,USA,WI,Milwaukee,Al,Simmons,Aloysius Harry,190.0,71.0,R,R,1924-04-15,1944-07-01
17152,simmote01,1949.0,8.0,9.0,Highland Park,USA,MI,,,,,,,Ted,Simmons,Ted Lyle,193.0,71.0,B,R,1968-09-21,1988-10-02
17200,sislege01,1893.0,3.0,24.0,Manchester,USA,OH,1973.0,3.0,26.0,USA,MO,Richmond Heights,George,Sisler,George Harold,170.0,71.0,L,L,1915-06-28,1930-09-22
17251,slaugen01,1916.0,4.0,27.0,Roxboro,USA,NC,2002.0,8.0,12.0,USA,NC,Durham,Enos,Slaughter,Enos Bradsher,180.0,69.0,L,R,1938-04-19,1959-09-29
17371,smithhi99,1907.0,2.0,27.0,Giddings,USA,TX,1983.0,11.0,18.0,USA,MO,Kansas City,Hilton,Smith,Hilton Lee,180.0,74.0,R,R,,
17398,smithle02,1957.0,12.0,4.0,Jamestown,USA,LA,,,,,,,Lee,Smith,Lee Arthur,220.0,77.0,R,R,1980-09-01,1997-07-02
17414,smithoz01,1954.0,12.0,26.0,Mobile,USA,AL,,,,,,,Ozzie,Smith,Osborne Earl,150.0,71.0,B,R,1978-04-07,1996-09-29
17460,smoltjo01,1967.0,5.0,15.0,Detroit,USA,MI,,,,,,,John,Smoltz,John Andrew,210.0,75.0,R,R,1988-07-23,2009-09-30
17482,snidedu01,1926.0,9.0,19.0,Los Angeles,USA,CA,2011.0,2.0,27.0,USA,CA,Escondido,Duke,Snider,Edwin Donald,179.0,72.0,L,R,1947-04-17,1964-10-03
17588,southbi01,1893.0,3.0,9.0,Harvard,USA,NE,1969.0,11.0,15.0,USA,OH,Columbus,Billy,Southworth,William Harold,170.0,69.0,L,R,1913-08-04,1929-07-09
17598,spahnwa01,1921.0,4.0,23.0,Buffalo,USA,NY,2003.0,11.0,24.0,USA,OK,Broken Arrow,Warren,Spahn,Warren Edward,172.0,72.0,L,L,1942-04-19,1965-10-01
17599,spaldal01,1850.0,9.0,2.0,Byron,USA,IL,1915.0,9.0,9.0,USA,CA,San Diego,Al,Spalding,Albert Goodwill,170.0,73.0,R,R,1871-05-05,1878-08-31
17612,speaktr01,1888.0,4.0,4.0,Hubbard,USA,TX,1958.0,12.0,8.0,USA,TX,Lake Whitney,Tris,Speaker,Tristram Edgar,193.0,71.0,L,L,1907-09-12,1928-08-30
17760,stargwi01,1940.0,3.0,6.0,Earlsboro,USA,OK,2001.0,4.0,9.0,USA,NC,Wilmington,Willie,Stargell,Wilver Dornel,188.0,74.0,L,L,1962-09-16,1982-10-03
17789,steartu99,1901.0,5.0,8.0,Nashville,USA,TN,1979.0,9.0,4.0,USA,MI,Detroit,Turkey,Stearnes,Norman Thomas,175.0,71.0,L,L,,
17831,stengca01,1890.0,7.0,30.0,Kansas City,USA,MO,1975.0,9.0,29.0,USA,CA,Glendale,Casey,Stengel,Charles Dillon,175.0,71.0,L,L,1912-09-17,1925-05-19
18181,suttebr01,1953.0,1.0,8.0,Lancaster,USA,PA,2022.0,10.0,13.0,USA,GA,Cartersville,Bruce,Sutter,Howard Bruce,190.0,74.0,R,R,1976-05-09,1988-09-09
18183,suttlmu99,1901.0,3.0,31.0,Blocton,USA,AL,1966.0,7.0,9.0,USA,NJ,Newark,Mule,Suttles,George,215.0,75.0,R,R,,
18184,suttodo01,1945.0,4.0,2.0,Clio,USA,AL,2021.0,1.0,18.0,USA,CA,Rancho Mirage,Don,Sutton,Donald Howard,185.0,73.0,R,R,1966-04-14,1988-08-09
18360,taylobe99,1888.0,7.0,1.0,Anderson,USA,SC,1953.0,1.0,24.0,USA,MD,Baltimore,Ben,Taylor,Benjamin Harrison,175.0,71.0,L,L,,
18460,terrybi01,1898.0,10.0,30.0,Atlanta,USA,GA,1989.0,1.0,9.0,USA,FL,Jacksonville,Bill,Terry,William Harold,200.0,73.0,L,L,1923-09-24,1936-09-22
18531,thomafr04,1968.0,5.0,27.0,Columbus,USA,GA,,,,,,,Frank,Thomas,Frank Edward,240.0,77.0,R,R,1990-08-02,2008-08-29
18558,thomeji01,1970.0,8.0,27.0,Peoria,USA,IL,,,,,,,Jim,Thome,James Howard,250.0,76.0,L,R,1991-09-04,2012-10-03
18598,thompsa01,1860.0,3.0,5.0,Danville,USA,IN,1922.0,11.0,7.0,USA,MI,Detroit,Sam,Thompson,Samuel Luther,207.0,74.0,L,R,1885-07-02,1906-09-10
18672,tinkejo01,1880.0,7.0,27.0,Muscotah,USA,KS,1948.0,7.0,27.0,USA,FL,Orlando,Joe,Tinker,Joseph Bert,175.0,69.0,R,R,1902-04-17,1916-09-22
18760,torrejo01,1940.0,7.0,18.0,Brooklyn,USA,NY,,,,,,,Joe,Torre,Joseph Paul,212.0,74.0,R,R,1960-09-25,1977-06-17
18772,torricr99,1893.0,11.0,16.0,Cienfuegos,Cuba,Las Villas,1938.0,4.0,11.0,USA,NY,New York,Cristobal,Torriente,Cristobal,190.0,70.0,L,L,,
18806,trammal01,1958.0,2.0,21.0,Garden Grove,USA,CA,,,,,,,Alan,Trammell,Alan Stuart,165.0,72.0,R,R,1977-09-09,1996-09-29
18818,traynpi01,1898.0,11.0,11.0,Framingham,USA,MA,1972.0,3.0,16.0,USA,PA,Pittsburgh,Pie,Traynor,Harold Joseph,170.0,72.0,R,R,1920-09-15,1937-08-14
19085,vanceda01,1891.0,3.0,4.0,Orient,USA,IA,1961.0,2.0,16.0,USA,FL,Homosassa Springs,Dazzy,Vance,Charles Arthur,200.0,74.0,R,R,1915-04-16,1935-08-14
19144,vaughar01,1912.0,3.0,9.0,Clifty,USA,AR,1952.0,8.0,30.0,USA,CA,Eagleville,Arky,Vaughan,Joseph Floyd,175.0,70.0,L,R,1932-04-17,1948-09-22
19167,veeckbi99,1914.0,2.0,9.0,Chicago,USA,IL,1986.0,1.0,2.0,USA,IL,Chicago,Bill,Veeck,William Louis,,,,,,
19316,wadderu01,1876.0,10.0,13.0,Bradford,USA,PA,1914.0,4.0,1.0,USA,TX,San Antonio,Rube,Waddell,George Edward,196.0,73.0,R,L,1897-09-08,1910-08-01
19340,wagneho01,1874.0,2.0,24.0,Chartiers,USA,PA,1955.0,12.0,6.0,USA,PA,Carnegie,Honus,Wagner,John Peter,200.0,71.0,R,R,1897-07-19,1917-09-17
19399,walkela01,1966.0,12.0,1.0,Maple Ridge,CAN,BC,,,,,,,Larry,Walker,Larry Kenneth Robert,185.0,74.0,L,R,1989-08-16,2005-10-02
19423,wallabo01,1873.0,11.0,4.0,Pittsburgh,USA,PA,1960.0,11.0,3.0,USA,CA,Torrance,Bobby,Wallace,Roderick John,170.0,68.0,R,R,1894-09-15,1918-09-02
19459,walshed01,1881.0,5.0,19.0,Plains,USA,PA,1959.0,5.0,26.0,USA,FL,Pompano Beach,Ed,Walsh,Edward Augustine,193.0,73.0,R,R,1904-05-07,1917-09-11
19493,wanerll01,1906.0,3.0,16.0,Harrah,USA,OK,1982.0,7.0,22.0,USA,OK,Oklahoma City,Lloyd,Waner,Lloyd James,150.0,69.0,L,R,1927-04-12,1945-09-16
19494,wanerpa01,1903.0,4.0,16.0,Harrah,USA,OK,1965.0,8.0,29.0,USA,FL,Sarasota,Paul,Waner,Paul Glee,153.0,68.0,L,L,1926-04-13,1945-04-26
19516,wardjo01,1860.0,3.0,3.0,Bellefonte,USA,PA,1925.0,3.0,4.0,USA,GA,Augusta,John,Ward,John Montgomery,165.0,69.0,L,R,1878-07-15,1894-09-29
19620,weaveea99,1930.0,8.0,14.0,St. Louis,USA,MO,2013.0,1.0,19.0,Caribbean Sea,,Cruise Ship,Earl,Weaver,Earl Sidney,180.0,67.0,R,R,,
19693,weissge99,1894.0,6.0,23.0,New Haven,USA,CT,1972.0,8.0,13.0,USA,CT,Greenwich,George,Weiss,George,,,,,,
19706,welchmi01,1859.0,7.0,4.0,Brooklyn,USA,NY,1941.0,7.0,30.0,USA,NH,Concord,Mickey,Welch,Michael Francis,160.0,68.0,R,R,1880-05-01,1892-05-17
19733,wellswi99,1904.0,8.0,10.0,Shawnee,USA,OK,1989.0,1.0,22.0,USA,TX,Austin,Willie,Wells,Willie James,170.0,69.0,R,R,,
19802,wheatza01,1888.0,5.0,23.0,Hamilton,USA,MO,1972.0,3.0,11.0,USA,MO,Sedalia,Zack,Wheat,Zachariah Davis,170.0,70.0,L,R,1909-09-11,1927-09-21
19843,whitede01,1847.0,12.0,2.0,Caton,USA,NY,1939.0,7.0,7.0,USA,IL,Aurora,Deacon,White,James Laurie,175.0,71.0,L,R,1871-05-04,1890-10-04
19888,whiteso99,1868.0,6.0,12.0,Bellaire,USA,OH,1955.0,8.0,26.0,USA,NY,Central Islip,Sol,White,King Solomon,170.0,69.0,R,R,,
19954,wilheho01,1922.0,7.0,26.0,Huntersville,USA,NC,2002.0,8.0,23.0,USA,FL,Sarasota,Hoyt,Wilhelm,James Hoyt,190.0,72.0,R,R,1952-04-18,1972-07-10
19973,wilkijl99,1878.0,5.0,14.0,Perry,USA,IA,1964.0,8.0,21.0,USA,MO,Kansas City,J. L.,Wilkinson,James Leslie,175.0,67.0,,,,
19993,willibi01,1938.0,6.0,15.0,Whistler,USA,AL,,,,,,,Billy,Williams,Billy Leo,175.0,73.0,L,R,1959-08-06,1976-10-02
20011,willidi02,1929.0,5.0,7.0,St. Louis,USA,MO,2011.0,7.0,7.0,USA,NV,Las Vegas,Dick,Williams,Richard Hirschfeld,190.0,72.0,R,R,1951-06-10,1964-10-01
20039,willijo99,1886.0,4.0,6.0,Seguin,USA,TX,1951.0,2.0,25.0,USA,NY,New York,Joe,Williams,Joseph,190.0,75.0,R,R,,
20080,willite01,1918.0,8.0,30.0,San Diego,USA,CA,2002.0,7.0,5.0,USA,FL,Inverness,Ted,Williams,Theodore Samuel,205.0,75.0,L,R,1939-04-20,1960-09-28
20084,willivi01,1876.0,4.0,12.0,Cecil County,USA,MD,1947.0,8.0,3.0,USA,MD,Elkton,Vic,Willis,Victor Gazaway,185.0,74.0,R,R,1898-04-20,1910-09-05
20135,wilsoha01,1900.0,4.0,26.0,Ellwood City,USA,PA,1948.0,11.0,23.0,USA,MD,Baltimore,Hack,Wilson,Lewis Robert,190.0,66.0,R,R,1923-09-29,1934-08-25
20149,wilsoju99,1896.0,2.0,28.0,Remington,USA,VA,1963.0,6.0,24.0,USA,DC,Washington,Jud,Wilson,Ernest Judson,190.0,68.0,L,R,,
20197,winfida01,1951.0,10.0,3.0,St. Paul,USA,MN,,,,,,,Dave,Winfield,David Mark,220.0,78.0,R,R,1973-06-19,1995-10-01
20400,wrighge01,1847.0,1.0,28.0,New York,USA,NY,1937.0,8.0,21.0,USA,MA,Boston,George,Wright,George,150.0,69.0,R,R,1871-05-05,1882-10-02
20404,wrighha01,1835.0,1.0,10.0,Sheffield,United Kingdom,,1895.0,10.0,3.0,USA,NJ,Atlantic City,Harry,Wright,William Henry,157.0,69.0,R,R,1871-05-05,1877-09-29
20441,wynnea01,1920.0,1.0,6.0,Hartford,USA,AL,1999.0,4.0,4.0,USA,FL,Venice,Early,Wynn,Early,190.0,72.0,B,R,1939-09-13,1963-09-13
20469,yastrca01,1939.0,8.0,22.0,Southampton,USA,NY,,,,,,,Carl,Yastrzemski,Carl Michael,175.0,71.0,L,R,1961-04-11,1983-10-02
20474,yawketo99,1903.0,2.0,21.0,Detroit,USA,MI,1976.0,7.0,9.0,USA,MA,Boston,Tom,Yawkey,Thomas Austin,,,,,,
20529,youngcy01,1867.0,3.0,29.0,Gilmore,USA,OH,1955.0,11.0,4.0,USA,OH,Newcomerstown,Cy,Young,Denton True,210.0,74.0,R,R,1890-08-06,1911-10-06
20564,youngro01,1897.0,4.0,10.0,Shiner,USA,TX,1927.0,10.0,22.0,USA,TX,San Antonio,Ross,Youngs,Royce Middlebrook,162.0,68.0,L,R,1917-09-25,1926-08-10
20571,yountro01,1955.0,9.0,16.0,Danville,USA,IL,,,,,,,Robin,Yount,Robin R.,165.0,72.0,R,R,1974-04-05,1993-10-03
20973,millema99,1917.0,4.0,14.0,Brooklyn,USA,NY,2012.0,11.0,27.0,Manhattan,USA,NY,Marvin,Miller,Marvin Julian,,,,,,
