,playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame
8048,henderi01,1958.0,12.0,25.0,Chicago,USA,IL,,,,,,,Rickey,Henderson,Rickey Nelson Henley,180.0,70.0,R,L,1979-06-24,2003-09-19
8129,hermabi01,1909.0,7.0,7.0,New Albany,USA,IN,1992.0,9.0,5.0,USA,FL,West Palm Beach,Billy,Herman,William Jennings Bryan,180.0,71.0,R,R,1931-08-29,1947-08-01
8233,herzowh01,1931.0,11.0,9.0,New Athens,USA,IL,,,,,,,Whitey,Herzog,Dorrel Norman Elvert,182.0,71.0,L,L,1956-04-17,1963-09-28
8350,hillpe99,1882.0,10.0,12.0,Culpeper,USA,VA,1951.0,11.0,19.0,USA,NY,Buffalo,Pete,Hill,John Preston,170.0,69.0,L,R,,
8419,hodgegi01,1924.0,4.0,4.0,Princeton,USA,IN,1972.0,4.0,2.0,USA,FL,West Palm Beach,Gil,Hodges,Gilbert Ray,200.0,73.0,R,R,1943-10-03,1963-05-05
8458,hoffmtr01,1967.0,10.0,13.0,Bellflower,USA,CA,,,,,,,Trevor,Hoffman,Trevor William,200.0,73.0,R,R,1993-04-06,2010-09-29
8574,hoopeha01,1887.0,8.0,24.0,Bell Station,USA,CA,1974.0,12.0,18.0,USA,CA,Santa Cruz,Harry,Hooper,Harry Bartholomew,168.0,70.0,L,R,1909-04-16,1925-10-04
8607,hornsro01,1896.0,4.0,27.0,Winters,USA,TX,1963.0,1.0,5.0,USA,IL,Chicago,Rogers,Hornsby,Rogers,175.0,71.0,R,R,1915-09-10,1937-07-20
8712,hoytwa01,1899.0,9.0,9.0,Brooklyn,USA,NY,1984.0,8.0,25.0,USA,OH,Cincinnati,Waite,Hoyt,Waite Charles,180.0,72.0,R,R,1918-07-24,1938-05-15
8718,hubbaca99,1900.0,10.0,31.0,Keytesville,USA,MO,1977.0,10.0,17.0,USA,FL,Gulfport,Cal,Hubbard,Robert Calvin,260.0,75.0,,,,
8723,hubbeca01,1903.0,6.0,22.0,Carthage,USA,MO,1988.0,11.0,21.0,USA,AZ,Scottsdale,Carl,Hubbell,Carl Owen,170.0,72.0,R,L,1928-07-26,1943-08-24
8765,huggimi01,1878.0,3.0,27.0,Cincinnati,USA,OH,1929.0,9.0,25.0,USA,NY,New York,Miller,Huggins,Miller James,140.0,66.0,B,R,1904-04-15,1916-09-13
8798,hulbewi99,1832.0,10.0,23.0,Burlington Flats,USA,NY,1882.0,4.0,10.0,USA,IL,Chicago,William,Hulbert,William A.,,,,,,
